"app_name","profit"
"ASOS","1178000.00"
"Domino's Pizza USA","1178000.00"
"Egg, Inc.","1178000.00"
"Geometry Dash Lite","1178000.00"
"PewDiePie's Tuber Simulator","1178000.00"
"The Guardian","1178000.00"
"Cytus","1168000.00"
"The EO Bar","1118000.00"
"aa","1070000.00"
"Adobe Illustrator Draw","1070000.00"
"Afterlight","1070000.00"
"Agar.io","1070000.00"
"Angry Birds 2","1070000.00"
"Angry Birds Blast","1070000.00"
"Angry Birds Epic RPG","1070000.00"
"Angry Birds Rio","1070000.00"
"Angry Birds Space HD","1070000.00"
"Angry Birds Star Wars","1070000.00"
"Animal Jam - Play Wild!","1070000.00"
"Army of Heroes","1070000.00"
"Asphalt 8: Airborne","1070000.00"
"Bad Piggies","1070000.00"
"Bad Piggies HD","1070000.00"
"Bejeweled Classic","1070000.00"
"Bible","1070000.00"
"Boom Beach","1070000.00"
"Bullet Force","1070000.00"
"Call of Duty®: Heroes","1070000.00"
"Candy Crush Saga","1070000.00"
"Candy Crush Soda Saga","1070000.00"
"Chase Mobile","1070000.00"
"Choices: Stories You Play","1070000.00"
"Clash of Clans","1070000.00"
"Clash Royale","1070000.00"
"ClassDojo","1070000.00"
"Cooking Fever","1070000.00"
"Deck Heroes: Legacy","1070000.00"
"Design Home","1070000.00"
"Discord - Chat for Gamers","1070000.00"
"Disney Crossy Road","1070000.00"
"Doodle Jump","1070000.00"
"DoorDash - Food Delivery","1070000.00"
"Dubsmash","1070000.00"
"Dude Perfect","1070000.00"
"Dude Perfect 2","1070000.00"
"Endless Ducker","1070000.00"
"Episode - Choose Your Story","1070000.00"
"Fallout Shelter","1070000.00"
"Fandango Movies - Times + Tickets","1070000.00"
"Farm Heroes Saga","1070000.00"
"Farming Simulator 14","1070000.00"
"Fernanfloo","1070000.00"
"FINAL FANTASY BRAVE EXVIUS","1070000.00"
"Fishdom","1070000.00"
"Flow Free","1070000.00"
"Frozen Free Fall","1070000.00"
"Fruit Ninja®","1070000.00"
"Fuel Rewards® program","1070000.00"
"Gear.Club - True Racing","1070000.00"
"Geometry Dash Meltdown","1070000.00"
"Geometry Dash World","1070000.00"
"GMX Mail","1070000.00"
"Google Docs","1070000.00"
"Google Sheets","1070000.00"
"GroupMe","1070000.00"
"Hay Day","1070000.00"
"Hill Climb Racing","1070000.00"
"Hill Climb Racing 2","1070000.00"
"Hitman Sniper","1070000.00"
"Hot Wheels: Race Off","1070000.00"
"Hungry Shark Evolution","1070000.00"
"Hungry Shark World","1070000.00"
"Injustice: Gods Among Us","1070000.00"
"Inside Out Thought Bubbles","1070000.00"
"Instagram","1070000.00"
"Jetpack Joyride","1070000.00"
"Mad Skills Motocross","1070000.00"
"MARVEL Contest of Champions","1070000.00"
"MARVEL Future Fight","1070000.00"
"Microsoft Excel","1070000.00"
"Microsoft OneNote","1070000.00"
"Microsoft PowerPoint","1070000.00"
"Microsoft Word","1070000.00"
"MORTAL KOMBAT X","1070000.00"
"My Emma :)","1070000.00"
"My Horse","1070000.00"
"My Talking Angela","1070000.00"
"My Talking Tom","1070000.00"
"Narcos: Cartel Wars","1070000.00"
"Need for Speed™ No Limits","1070000.00"
"Nyan Cat: Lost In Space","1070000.00"
"OK K.O.! Lakewood Plaza Turbo","1070000.00"
"PAC-MAN Pop","1070000.00"
"PES CLUB MANAGER","1070000.00"
"Photo Editor-","1070000.00"
"Photo Editor by Aviary","1070000.00"
"PicsArt Photo Studio: Collage Maker & Pic Editor","1070000.00"
"Pineapple Pen","1070000.00"
"Pinterest","1070000.00"
"Plants vs. Zombies™ 2","1070000.00"
"Plants vs. Zombies™ Heroes","1070000.00"
"Pou","1070000.00"
"Real Basketball","1070000.00"
"Real Racing 3","1070000.00"
"Red Ball 4","1070000.00"
"Regal Cinemas","1070000.00"
"ROBLOX","1070000.00"
"Rolling Sky","1070000.00"
"Score! Hero","1070000.00"
"Seven - 7 Minute Workout Training Challenge","1070000.00"
"Shadow Fight 2","1070000.00"
"SimCity BuildIt","1070000.00"
"Smash Hit","1070000.00"
"Smashy Road: Arena","1070000.00"
"Snapseed","1070000.00"
"Solitaire","1070000.00"
"Sonic Dash","1070000.00"
"Star Chart","1070000.00"
"Star Wars™: Galaxy of Heroes","1070000.00"
"Starbucks","1070000.00"
"Subway Surfers","1070000.00"
"sugar, sugar","1070000.00"
"Summoners War","1070000.00"
"Super Jabber Jump","1070000.00"
"Swamp Attack","1070000.00"
"Talking Ginger 2","1070000.00"
"Talking Tom Bubble Shooter","1070000.00"
"Temple Run","1070000.00"
"Temple Run 2","1070000.00"
"The CW","1070000.00"
"The Sims™ FreePlay","1070000.00"
"The Washington Post Classic","1070000.00"
"Tiny Archers","1070000.00"
"Tomb of the Mask","1070000.00"
"Township","1070000.00"
"Toy Blast","1070000.00"
"Traffic Racer","1070000.00"
"Trello","1070000.00"
"Trivia Crack","1070000.00"
"USAA Mobile","1070000.00"
"Verizon Cloud","1070000.00"
"War Robots","1070000.00"
"WeChat","1070000.00"
"WGT Golf Game by Topgolf","1070000.00"
"WhatsApp Messenger","1070000.00"
"Wish - Shopping Made Fun","1070000.00"
"Wishbone - Compare Anything","1070000.00"
"WWE","1070000.00"
"Xbox","1070000.00"
"Yahoo Weather","1070000.00"
"YouTube Kids","1070000.00"
"Zombie Catchers","1070000.00"
"Zombie Tsunami","1070000.00"
"AJ Jump: Animal Jam Kangaroos!","1060000.00"
"Can Knockdown 3","1060000.00"
"Dragon Hills","1060000.00"
"Earn to Die 2","1060000.00"
"Fruit Ninja Classic","1060000.00"
"H*nest Meditation","1060000.00"
"Where's My Water?","1060000.00"
"Alizay, pirate girl","1050000.00"
"Bloons TD 5","1050000.00"
"DRAGON QUEST","1050000.00"
"Five Nights at Freddy's","1050000.00"
"Five Nights at Freddy's 2","1050000.00"
"Five Nights at Freddy's 3","1050000.00"
"Pocket Yoga","1050000.00"
"Riptide GP: Renegade","1050000.00"
"The Game of Life","1050000.00"
"Threema","1050000.00"
"Toca Kitchen 2","1050000.00"
"Tsuro - The Game of the Path","1050000.00"
"Vikings: an Archer's Journey","1050000.00"
"Dr. Panda & Toto's Treehouse","1040000.00"
"Sago Mini Babies","1040000.00"
"Toca Builders","1040000.00"
"Toca Life: City","1040000.00"
"Alto's Adventure","1030000.00"
"Battleheart Legacy","1030000.00"
"F-Sim Space Shuttle","1030000.00"
"Farming Simulator 16","1030000.00"
"Hitman GO","1030000.00"
"My Talking Pet","1030000.00"
"Paprika Recipe Manager","1030000.00"
"Retro City Rampage DX","1030000.00"
"RollerCoaster Tycoon® Classic","1020000.00"
"My Movies Pro - Movie & TV Collection Library","1000000.00"
"Baldur's Gate: Enhanced Edition","980000.00"
"ADP Mobile Solutions","962000.00"
"Airbnb","962000.00"
"Allrecipes Dinner Spinner","962000.00"
"Amazon Prime Video","962000.00"
"Amex Mobile","962000.00"
"Angry Birds Friends","962000.00"
"Angry Birds Go!","962000.00"
"Ao Oni2","962000.00"
"Bejeweled Blitz","962000.00"
"Best Buy","962000.00"
"Bike Unchained","962000.00"
"Boomerang from Instagram","962000.00"
"Candy Crush Jelly Saga","962000.00"
"Cartoon Wars 3","962000.00"
"Chick-fil-A","962000.00"
"Citi Mobile®","962000.00"
"Crazy Freekick","962000.00"
"DB Navigator","962000.00"
"diep.io","962000.00"
"DIRECTV","962000.00"
"Does not Commute","962000.00"
"DRAGON BALL Z DOKKAN BATTLE","962000.00"
"Driving Zone","962000.00"
"Dropbox","962000.00"
"Dumb Ways to Die 2: The Games","962000.00"
"Edmodo","962000.00"
"Facebook","962000.00"
"Firefox Focus: The privacy browser","962000.00"
"Fitbit","962000.00"
"Geocaching®","962000.00"
"Get 'Em","962000.00"
"Google Classroom","962000.00"
"Google Earth","962000.00"
"Google Slides","962000.00"
"Google Street View","962000.00"
"Google Translate","962000.00"
"Hangouts","962000.00"
"iFunny :)","962000.00"
"Indeed Job Search","962000.00"
"Infinite Painter","962000.00"
"Ingress","962000.00"
"Just Dance Now","962000.00"
"Kids A-Z","962000.00"
"Kik","962000.00"
"King of Avalon: Dragon Warfare","962000.00"
"LEGO® Juniors Create & Cruise","962000.00"
"LinkedIn","962000.00"
"MARVEL Avengers Academy","962000.00"
"My Little Pony: Harmony Quest","962000.00"
"NASCAR MOBILE","962000.00"
"NBA","962000.00"
"NBA LIVE Mobile Basketball","962000.00"
"NBC News","962000.00"
"Netflix","962000.00"
"NHL","962000.00"
"Nick","962000.00"
"PBS KIDS Video","962000.00"
"Peggle Blast","962000.00"
"Premier League - Official App","962000.00"
"Puffin Web Browser","962000.00"
"RISK: Global Domination","962000.00"
"Shopkins World!","962000.00"
"slither.io","962000.00"
"SONIC Drive-In","962000.00"
"Speedtest by Ookla","962000.00"
"STARZ","962000.00"
"T-Mobile","962000.00"
"TED","962000.00"
"The Simpsons™: Tapped Out","962000.00"
"Timehop","962000.00"
"Tinder","962000.00"
"Tom's Love Letters","962000.00"
"Tom Loves Angela","962000.00"
"Tumblr","962000.00"
"Twitter","962000.00"
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo","962000.00"
"UNO ™ & Friends","962000.00"
"USA TODAY","962000.00"
"VSCO","962000.00"
"WatchESPN","962000.00"
"WEB.DE Mail","962000.00"
"Whataburger","962000.00"
"YouNow: Live Stream Video Chat","962000.00"
"True Skate","952000.00"
"Dr. Panda Farm","942000.00"
"Dr. Panda Hospital","942000.00"
"Dr. Panda Supermarket","942000.00"
"Out There Chronicles - Ep. 1","942000.00"
"Storm Shield","942000.00"
"Puffin Browser Pro","932000.00"
"FINAL FANTASY V","930000.00"
"Assassin's Creed Identity","922000.00"
"Don't Starve: Pocket Edition","922000.00"
"Don't Starve: Shipwrecked","922000.00"
"I am Bread","922000.00"
"LEGO Batman: DC Super Heroes","922000.00"
"LEGO® Friends","922000.00"
"NBA JAM by EA SPORTS™","922000.00"
"Please, Don't Touch Anything","922000.00"
"Grand Theft Auto: San Andreas","902000.00"
"XCOM®: Enemy Within","872000.00"
"Battlefield™ Companion","854000.00"
"BET NOW - Watch Shows","854000.00"
"Epson iPrint","854000.00"
"Fly Delta","854000.00"
"Google Play Movies & TV","854000.00"
"H&M","854000.00"
"Mad Libs","854000.00"
"Messenger","854000.00"
"Mobile Strike","854000.00"
"myAT&T","854000.00"
"NFL","854000.00"
"PAC-MAN","854000.00"
"Pokémon GO","854000.00"
"Redbox","854000.00"
"SHOWTIME","854000.00"
"Sky News","854000.00"
"Snapchat","854000.00"
"Southwest Airlines","854000.00"
"T-Mobile Tuesdays","854000.00"
"Thomas & Friends: Race On!","854000.00"
"Uber","854000.00"
"Uber Driver","854000.00"
"Wells Fargo Mobile","854000.00"
"Muscle Premium - Human Anatomy, Kinesiology, Bones","830000.00"
"AnatomyMapp","822000.00"
"AirWatch Agent","746000.00"
"McDonald's","746000.00"
"MTV","746000.00"
"My College Bookstore","746000.00"
"myChevrolet","746000.00"
"NBC Sports","746000.00"
"NCAA Sports","746000.00"
"Super Mario Run","746000.00"
"U by BB&T","746000.00"
"United Airlines","746000.00"
"Peppa Pig: Party Time","726000.00"
"AMC","638000.00"
"Philips Hue","638000.00"
"SNCF","638000.00"
